account_id,received_cs_touch,is_pilot
acc_0000,0,0
acc_0001,1,0
acc_0002,1,0
acc_0003,0,0
acc_0004,1,0
acc_0005,0,0
acc_0006,1,0
acc_0007,1,1
acc_0008,0,0
acc_0009,0,0
acc_0010,0,0
acc_0011,0,0
acc_0012,0,0
acc_0013,1,0
acc_0014,1,0
acc_0015,1,0
acc_0016,0,0
acc_0017,0,0
acc_0018,1,0
acc_0019,0,0
acc_0020,0,0
acc_0021,0,0
acc_0022,0,0
acc_0023,1,0
acc_0024,0,0
acc_0025,0,0
acc_0026,0,1
acc_0027,1,0
acc_0028,0,0
acc_0029,0,1
acc_0030,0,0
acc_0031,0,0
acc_0032,0,0
acc_0033,0,0
acc_0034,1,0
acc_0035,0,0
acc_0036,0,1
acc_0037,1,0
acc_0038,0,0
acc_0039,0,1
acc_0040,1,0
acc_0041,0,0
acc_0042,0,0
acc_0043,0,0
acc_0044,1,1
acc_0045,0,0
acc_0046,0,0
acc_0047,0,0
acc_0048,1,1
acc_0049,0,0
acc_0050,1,0
acc_0051,0,0
acc_0052,1,0
acc_0053,0,0
acc_0054,0,0
acc_0055,0,0
acc_0056,1,0
acc_0057,1,0
acc_0058,1,1
acc_0059,1,0
acc_0060,1,1
acc_0061,1,0
acc_0062,1,0
acc_0063,1,0
acc_0064,1,0
acc_0065,0,0
acc_0066,0,0
acc_0067,0,0
acc_0068,1,0
acc_0069,0,0
acc_0070,0,1
acc_0071,0,0
acc_0072,0,0
acc_0073,0,0
acc_0074,1,0
acc_0075,0,0
acc_0076,0,0
acc_0077,0,0
acc_0078,1,1
acc_0079,1,0
acc_0080,1,0
acc_0081,0,0
acc_0082,1,0
acc_0083,0,0
acc_0084,0,0
acc_0085,0,0
acc_0086,0,0
acc_0087,1,0
acc_0088,1,0
acc_0089,1,0
acc_0090,1,0
acc_0091,0,0
acc_0092,1,0
acc_0093,0,0
acc_0094,0,0
acc_0095,0,0
acc_0096,1,0
acc_0097,1,1
acc_0098,1,0
acc_0099,0,0
acc_0100,0,1
acc_0101,1,0
acc_0102,1,0
acc_0103,1,1
acc_0104,0,0
acc_0105,1,0
acc_0106,0,0
acc_0107,0,0
acc_0108,0,1
acc_0109,1,0
acc_0110,1,0
acc_0111,1,0
acc_0112,0,0
acc_0113,0,0
acc_0114,0,0
acc_0115,0,1
acc_0116,0,0
acc_0117,1,1
acc_0118,1,1
acc_0119,1,0
acc_0120,1,0
acc_0121,0,0
acc_0122,0,0
acc_0123,0,0
acc_0124,0,0
acc_0125,0,0
acc_0126,0,0
acc_0127,0,0
acc_0128,1,1
acc_0129,1,0
acc_0130,0,0
acc_0131,0,0
acc_0132,1,0
acc_0133,0,0
acc_0134,0,0
acc_0135,0,0
acc_0136,0,0
acc_0137,1,1
acc_0138,0,0
acc_0139,0,0
acc_0140,0,0
acc_0141,1,0
acc_0142,0,1
acc_0143,1,1
acc_0144,1,0
