account_id,login_frequency,feature_adoption,session_depth
acc_0000,12,7,3.1
acc_0001,12,5,4.0
acc_0002,17,4,3.21
acc_0003,12,3,1.1
acc_0004,31,11,4.42
acc_0005,0,2,1.37
acc_0006,13,10,0.95
acc_0007,6,4,2.33
acc_0008,11,5,3.52
acc_0009,28,7,3.55
acc_0010,24,6,3.82
acc_0011,7,1,1.37
acc_0012,20,5,4.73
acc_0013,11,7,3.16
acc_0014,15,2,1.46
acc_0015,16,9,2.79
acc_0016,16,3,0.26
acc_0017,15,4,2.6
acc_0018,10,2,1.95
acc_0019,8,3,0.26
acc_0020,14,5,1.37
acc_0021,32,6,4.62
acc_0022,10,0,1.04
acc_0023,19,8,0.43
acc_0024,8,4,3.56
acc_0025,16,5,1.25
acc_0026,19,4,2.51
acc_0027,10,1,2.84
acc_0028,15,4,1.34
acc_0029,6,1,0.56
acc_0030,7,4,1.54
acc_0031,6,3,2.77
acc_0032,17,5,2.34
acc_0033,0,2,0.46
acc_0034,3,1,0.1
acc_0035,6,2,1.04
acc_0036,22,9,2.48
acc_0037,24,6,5.18
acc_0038,9,0,2.09
acc_0039,13,3,1.87
acc_0040,7,0,2.35
acc_0041,2,6,2.87
acc_0042,32,9,2.65
acc_0043,13,2,0.46
acc_0044,20,3,2.94
acc_0045,20,4,2.58
acc_0046,4,2,0.1
acc_0047,21,5,2.93
acc_0048,14,9,1.21
acc_0049,1,0,0.69
acc_0050,12,7,2.26
acc_0051,15,8,2.7
acc_0052,13,2,3.29
acc_0053,6,4,0.1
acc_0054,21,6,3.12
acc_0055,5,2,0.1
acc_0056,18,2,2.75
acc_0057,29,5,4.13
acc_0058,18,7,3.75
acc_0059,25,5,4.26
acc_0060,5,5,0.25
acc_0061,26,5,3.94
acc_0062,13,3,1.4
acc_0063,11,4,2.54
acc_0064,23,4,1.8
acc_0065,16,8,3.19
acc_0066,0,2,0.87
acc_0067,9,0,1.53
acc_0068,22,10,5.75
acc_0069,15,6,3.6
acc_0070,39,9,6.48
acc_0071,25,11,3.68
acc_0072,11,6,3.72
acc_0073,18,8,4.09
acc_0074,22,4,3.5
acc_0075,1,1,1.52
acc_0076,11,7,2.62
acc_0077,8,2,1.85
acc_0078,25,8,2.65
acc_0079,27,7,5.3
acc_0080,24,10,3.08
acc_0081,11,5,1.85
acc_0082,9,9,3.55
acc_0083,26,8,5.92
acc_0084,8,5,0.97
acc_0085,25,7,2.39
acc_0086,5,4,2.37
acc_0087,20,6,1.92
acc_0088,15,3,1.01
acc_0089,5,7,2.58
acc_0090,19,7,3.13
acc_0091,6,4,2.66
acc_0092,23,7,4.05
acc_0093,14,4,3.47
acc_0094,9,2,0.51
acc_0095,16,5,2.83
acc_0096,17,5,3.36
acc_0097,27,12,3.47
acc_0098,16,5,2.04
acc_0099,24,7,3.99
acc_0100,13,4,2.86
acc_0101,13,3,3.08
acc_0102,5,3,2.51
acc_0103,26,4,2.38
acc_0104,19,10,1.36
acc_0105,18,7,4.45
acc_0106,13,4,2.06
acc_0107,21,9,2.87
acc_0108,13,3,2.29
acc_0109,28,11,4.66
acc_0110,32,10,5.07
acc_0111,11,0,0.53
acc_0112,8,2,0.1
acc_0113,1,3,1.89
acc_0114,0,1,0.99
acc_0115,20,8,2.53
acc_0116,17,6,2.48
acc_0117,12,6,4.36
acc_0118,27,5,4.12
acc_0119,20,10,0.28
