account_id,arr,plan_tier,seats,billing_interval,churned
acc_0000,21633.48,Professional,40,monthly,0
acc_0001,161821.2,Enterprise,128,annual,0
acc_0002,224.56,Starter,1,monthly,0
acc_0003,655.55,Starter,3,monthly,0
acc_0004,18224.67,Professional,28,annual,0
acc_0005,19050.52,Professional,30,annual,1
acc_0006,1546.5,Starter,7,monthly,0
acc_0007,236827.73,Enterprise,187,monthly,1
acc_0008,1026.05,Starter,4,annual,1
acc_0009,518.91,Starter,2,monthly,1
acc_0010,202151.26,Enterprise,167,annual,1
acc_0011,1998.11,Starter,8,annual,0
acc_0012,195755.3,Enterprise,155,monthly,1
acc_0013,249.05,Starter,1,monthly,1
acc_0014,2223.43,Starter,9,monthly,1
acc_0015,23622.58,Professional,39,monthly,0
acc_0016,101575.59,Enterprise,85,monthly,1
acc_0017,10552.56,Professional,16,annual,0
acc_0018,1161.01,Starter,5,annual,0
acc_0019,7708.29,Professional,14,monthly,0
acc_0020,505.44,Starter,2,annual,0
acc_0021,107475.2,Enterprise,95,monthly,0
acc_0022,966.28,Starter,4,annual,0
acc_0023,168757.83,Enterprise,153,monthly,0
acc_0024,6757.45,Professional,11,monthly,1
acc_0025,7839.37,Professional,12,monthly,0
acc_0026,15041.39,Professional,24,monthly,0
acc_0027,678.89,Starter,3,monthly,0
acc_0028,240292.38,Enterprise,183,annual,0
acc_0029,1615.18,Starter,7,monthly,1
acc_0030,1421.75,Starter,6,annual,1
acc_0031,28789.15,Professional,48,monthly,0
acc_0032,206890.28,Enterprise,157,monthly,1
acc_0033,1973.76,Starter,9,monthly,1
acc_0034,28685.94,Professional,46,annual,1
acc_0035,11085.2,Professional,19,monthly,1
acc_0036,879.04,Starter,4,monthly,0
acc_0037,782.64,Starter,3,annual,1
acc_0038,10994.09,Professional,18,monthly,0
acc_0039,1765.18,Starter,7,monthly,1
acc_0040,18203.08,Professional,32,monthly,0
acc_0041,14521.85,Professional,23,monthly,1
acc_0042,195661.62,Enterprise,153,monthly,1
acc_0043,1420.08,Starter,6,annual,1
acc_0044,25562.66,Professional,42,annual,0
acc_0045,1313.25,Starter,5,monthly,0
acc_0046,16040.19,Professional,25,monthly,0
acc_0047,141224.92,Enterprise,119,monthly,0
acc_0048,1735.3,Starter,7,monthly,1
acc_0049,18389.13,Professional,29,monthly,0
acc_0050,9229.63,Professional,17,monthly,0
acc_0051,28698.38,Professional,47,monthly,1
acc_0052,28300.17,Professional,43,monthly,0
acc_0053,1307.32,Starter,5,annual,1
acc_0054,25595.71,Professional,40,annual,1
acc_0055,1989.88,Starter,9,monthly,1
acc_0056,11207.84,Professional,17,annual,1
acc_0057,20846.92,Professional,34,monthly,0
acc_0058,156422.72,Enterprise,138,monthly,0
acc_0059,993.46,Starter,4,annual,1
acc_0060,14141.22,Professional,22,annual,1
acc_0061,14943.94,Professional,27,monthly,1
acc_0062,259.99,Starter,1,monthly,0
acc_0063,27968.25,Professional,43,annual,0
acc_0064,1083.23,Starter,5,monthly,0
acc_0065,259.22,Starter,1,monthly,0
acc_0066,261.45,Starter,1,annual,0
acc_0067,217.81,Starter,1,monthly,1
acc_0068,59831.2,Enterprise,52,monthly,0
acc_0069,233.91,Starter,1,annual,1
acc_0070,105899.77,Enterprise,91,monthly,1
acc_0071,2019.46,Starter,8,monthly,1
acc_0072,26233.76,Professional,45,monthly,1
acc_0073,17024.53,Professional,26,monthly,1
acc_0074,209688.92,Enterprise,159,monthly,0
acc_0075,12138.38,Professional,21,monthly,1
acc_0076,200752.73,Enterprise,167,monthly,0
acc_0077,15173.12,Professional,25,monthly,1
acc_0078,487.62,Starter,2,monthly,1
acc_0079,121660.26,Enterprise,104,monthly,1
acc_0080,210529.63,Enterprise,188,monthly,0
acc_0081,1967.57,Starter,9,monthly,1
acc_0082,180200.36,Enterprise,163,monthly,0
acc_0083,14259.41,Professional,22,monthly,0
acc_0084,90635.91,Enterprise,79,annual,1
acc_0085,172454.69,Enterprise,157,annual,0
acc_0086,159854.13,Enterprise,130,monthly,0
acc_0087,72472.87,Enterprise,66,monthly,0
acc_0088,1535.54,Starter,7,monthly,0
acc_0089,737.51,Starter,3,monthly,0
acc_0090,2199.48,Starter,9,monthly,0
acc_0091,871.96,Starter,4,monthly,0
acc_0092,1666.72,Starter,7,monthly,0
acc_0093,11845.84,Professional,20,annual,1
acc_0094,726.72,Starter,3,monthly,0
acc_0095,14456.45,Professional,23,annual,0
acc_0096,94125.5,Enterprise,82,monthly,0
acc_0097,21901.54,Professional,37,monthly,0
acc_0098,20959.26,Professional,33,monthly,1
acc_0099,1301.41,Starter,5,annual,0
acc_0100,1035.13,Starter,4,monthly,1
acc_0101,15530.21,Professional,26,monthly,0
acc_0102,10845.07,Professional,18,monthly,0
acc_0103,23536.21,Professional,39,annual,1
acc_0104,29635.31,Professional,46,monthly,1
acc_0105,1537.9,Starter,6,monthly,0
acc_0106,2078.58,Starter,9,annual,0
acc_0107,6714.5,Professional,12,monthly,0
acc_0108,1170.95,Starter,5,monthly,1
acc_0109,9768.35,Professional,17,monthly,0
acc_0110,197536.29,Enterprise,151,annual,1
acc_0111,228.76,Starter,1,monthly,0
acc_0112,15167.11,Professional,27,monthly,0
acc_0113,25269.56,Professional,39,annual,1
acc_0114,6604.53,Professional,12,monthly,0
acc_0115,1142.46,Starter,5,annual,0
acc_0116,82977.07,Enterprise,70,monthly,1
acc_0117,1222.83,Starter,5,monthly,0
acc_0118,24910.79,Professional,43,monthly,0
acc_0119,22183.28,Professional,37,annual,1
acc_0120,2029.9,Starter,9,monthly,0
acc_0121,1948.52,Starter,8,monthly,0
acc_0122,1177.88,Starter,5,monthly,1
acc_0123,29527.91,Professional,46,annual,1
acc_0124,1179.78,Starter,5,monthly,1
acc_0125,189842.51,Enterprise,160,monthly,0
acc_0126,488.85,Starter,2,annual,1
acc_0127,65464.09,Enterprise,59,annual,1
acc_0128,169879.89,Enterprise,152,monthly,0
acc_0129,21584.17,Professional,34,annual,0
acc_0130,22339.6,Professional,39,monthly,1
acc_0131,2239.79,Starter,9,monthly,1
acc_0132,97097.66,Enterprise,88,monthly,0
acc_0133,10217.95,Professional,16,monthly,0
acc_0134,167281.19,Enterprise,127,annual,1
acc_0135,22224.03,Professional,38,annual,0
acc_0136,162179.18,Enterprise,135,monthly,1
acc_0137,6524.38,Professional,11,annual,0
acc_0138,130755.11,Enterprise,101,monthly,0
acc_0139,865.91,Starter,4,monthly,1
acc_0140,21644.53,Professional,35,annual,0
acc_0141,9892.55,Professional,16,annual,0
acc_0142,15818.93,Professional,27,monthly,1
acc_0143,8494.8,Professional,15,monthly,0
acc_0144,27869.33,Professional,49,monthly,0
acc_0145,1780.96,Starter,7,monthly,0
acc_0146,19725.57,Professional,36,monthly,1
acc_0147,20052.74,Professional,33,monthly,1
acc_0148,1384.37,Starter,6,monthly,0
acc_0149,24016.85,Professional,42,annual,0
acc_0150,1201.38,Starter,5,monthly,1
acc_0151,1295.49,Starter,5,monthly,0
acc_0152,24566.84,Professional,40,annual,1
acc_0153,114233.99,Enterprise,90,monthly,0
