account_id,ticket_volume,severe_tickets
acc_0000,5,2
acc_0001,11,0
acc_0002,4,1
acc_0003,13,3
acc_0004,1,1
acc_0005,12,1
acc_0006,1,1
acc_0007,6,1
acc_0008,11,3
acc_0009,3,0
acc_0010,4,0
acc_0011,11,3
acc_0012,8,2
acc_0013,6,2
acc_0014,9,2
acc_0015,7,1
acc_0016,13,4
acc_0017,9,2
acc_0018,9,1
acc_0019,5,2
acc_0020,7,2
acc_0021,3,0
acc_0022,11,3
acc_0023,9,0
acc_0024,9,1
acc_0025,4,1
acc_0026,1,1
acc_0027,8,1
acc_0028,8,2
acc_0029,8,0
acc_0030,8,2
acc_0031,6,1
acc_0032,7,4
acc_0033,16,2
acc_0034,8,2
acc_0035,7,2
acc_0036,9,3
acc_0037,3,0
acc_0038,7,2
acc_0039,15,3
acc_0040,13,3
acc_0041,10,2
acc_0042,1,0
acc_0043,13,2
acc_0044,6,2
acc_0045,6,1
acc_0046,10,3
acc_0047,5,0
acc_0048,9,2
acc_0049,17,4
acc_0050,5,2
acc_0051,9,0
acc_0052,6,2
acc_0053,12,2
acc_0054,2,0
acc_0055,11,3
acc_0056,15,3
acc_0057,5,0
acc_0058,4,1
acc_0059,1,1
acc_0060,9,1
acc_0061,1,1
acc_0062,8,1
acc_0063,8,2
acc_0064,9,0
acc_0065,4,0
acc_0066,11,3
acc_0067,11,3
acc_0068,3,0
acc_0069,6,1
acc_0070,1,0
acc_0071,4,2
acc_0072,12,2
acc_0073,8,0
acc_0074,5,0
acc_0075,8,2
acc_0076,8,1
acc_0077,13,3
acc_0078,3,2
acc_0079,2,0
acc_0080,0,0
acc_0081,9,1
acc_0082,8,1
acc_0083,2,1
acc_0084,11,3
acc_0085,1,0
acc_0086,15,1
acc_0087,7,0
acc_0088,5,2
acc_0089,10,2
acc_0090,5,2
acc_0091,8,2
acc_0092,4,3
acc_0093,6,0
acc_0094,13,0
acc_0095,3,3
acc_0096,6,0
acc_0097,5,1
acc_0098,6,1
acc_0099,7,1
acc_0100,10,1
acc_0101,8,1
acc_0102,6,1
acc_0103,3,2
acc_0104,7,2
acc_0105,5,1
acc_0106,10,1
acc_0107,10,2
acc_0108,9,0
acc_0109,3,2
acc_0110,2,1
acc_0111,13,2
acc_0112,10,3
acc_0113,10,3
acc_0114,14,3
acc_0115,3,0
acc_0116,4,1
acc_0117,1,1
acc_0118,6,1
acc_0119,4,2
acc_0120,2,1
acc_0121,6,2
acc_0122,12,2
acc_0123,5,2
acc_0124,6,2
acc_0125,13,4
acc_0126,10,3
acc_0127,6,2
acc_0128,3,1
acc_0129,8,2
acc_0130,11,0
acc_0131,4,1
acc_0132,8,1
acc_0133,12,3
acc_0134,8,0
acc_0135,10,2
acc_0136,8,1
acc_0137,3,3
acc_0138,9,3
acc_0139,7,0
acc_0140,9,2
acc_0141,14,2
acc_0142,12,3
acc_0143,7,2
acc_0144,5,0
acc_0145,9,1
acc_0146,18,2
acc_0147,9,1
acc_0148,8,0
acc_0149,6,2
acc_0150,12,2
acc_0151,8,1
acc_0152,13,2
acc_0153,13,0
acc_0154,2,2
acc_0155,9,2
acc_0156,3,2
acc_0157,10,3
acc_0158,6,1
acc_0159,5,0
acc_0160,4,1
acc_0161,6,1
acc_0162,5,1
acc_0163,0,0
acc_0164,9,2
acc_0165,10,4
acc_0166,3,0
acc_0167,15,3
acc_0168,9,1
acc_0169,6,2
acc_0170,8,0
acc_0171,2,0
acc_0172,3,0
acc_0173,5,0
acc_0174,13,4
acc_0175,13,4
acc_0176,4,1
acc_0177,9,2
acc_0178,10,1
acc_0179,5,0
acc_0180,9,2
acc_0181,12,1
acc_0182,7,1
acc_0183,4,0
acc_0184,6,2
acc_0185,1,0
acc_0186,11,3
acc_0187,3,2
acc_0188,3,1
acc_0189,4,2
acc_0190,6,0
acc_0191,12,5
acc_0192,0,0
acc_0193,11,3
acc_0194,10,2
acc_0195,0,0
acc_0196,9,1
acc_0197,4,2
acc_0198,12,1
acc_0199,5,1
acc_0200,0,0
acc_0201,10,2
acc_0202,14,4
acc_0203,15,3
acc_0204,13,1
acc_0205,5,1
acc_0206,2,1
acc_0207,4,1
acc_0208,7,2
acc_0209,4,1
acc_0210,7,0
acc_0211,8,2
acc_0212,12,2
acc_0213,3,2
acc_0214,2,0
acc_0215,13,3
acc_0216,10,1
acc_0217,7,4
acc_0218,1,0
acc_0219,12,2
acc_0220,6,0
acc_0221,2,2
acc_0222,8,3
acc_0223,9,1
acc_0224,8,2
acc_0225,6,2
acc_0226,14,3
acc_0227,9,1
acc_0228,0,0
acc_0229,8,3
acc_0230,1,1
acc_0231,7,2
acc_0232,6,3
acc_0233,9,4
acc_0234,12,3
acc_0235,17,2
acc_0236,12,3
acc_0237,8,2
acc_0238,9,2
acc_0239,6,1
acc_0240,5,1
acc_0241,4,1
acc_0242,10,2
acc_0243,8,2
acc_0244,11,2
acc_0245,9,2
acc_0246,2,0
acc_0247,9,2
acc_0248,3,2
acc_0249,12,0
acc_0250,2,0
acc_0251,12,2
acc_0252,10,1
acc_0253,8,2
acc_0254,9,2
acc_0255,10,4
acc_0256,3,1
acc_0257,10,3
acc_0258,11,1
acc_0259,7,1
acc_0260,3,1
acc_0261,6,0
acc_0262,8,1
acc_0263,7,2
acc_0264,10,2
acc_0265,9,1
acc_0266,1,0
acc_0267,16,2
acc_0268,10,3
acc_0269,4,1
acc_0270,11,0
acc_0271,2,1
acc_0272,4,2
acc_0273,8,1
acc_0274,1,0
acc_0275,6,2
acc_0276,4,1
acc_0277,7,2
acc_0278,9,2
acc_0279,12,4
acc_0280,0,0
acc_0281,8,2
acc_0282,11,2
acc_0283,8,0
acc_0284,8,1
acc_0285,8,1
acc_0286,12,3
acc_0287,8,1
acc_0288,13,2
acc_0289,10,3
acc_0290,12,0
acc_0291,4,3
acc_0292,10,4
acc_0293,16,2
acc_0294,5,2
acc_0295,5,2
acc_0296,11,0
acc_0297,3,1
acc_0298,7,0
acc_0299,10,1
acc_0300,14,2
acc_0301,7,1
acc_0302,11,3
acc_0303,6,1
acc_0304,5,1
acc_0305,10,4
acc_0306,6,2
acc_0307,3,0
acc_0308,12,3
acc_0309,8,2
acc_0310,14,3
acc_0311,8,2
acc_0312,11,0
acc_0313,5,0
acc_0314,4,3
acc_0315,4,0
acc_0316,4,0
acc_0317,13,1
acc_0318,6,1
acc_0319,2,1
acc_0320,8,3
acc_0321,3,0
acc_0322,7,1
acc_0323,3,0
acc_0324,3,0
acc_0325,10,4
acc_0326,8,1
acc_0327,2,0
acc_0328,5,1
acc_0329,5,1
acc_0330,8,2
acc_0331,7,2
acc_0332,5,2
acc_0333,7,2
acc_0334,13,1
acc_0335,7,0
acc_0336,5,0
acc_0337,8,2
acc_0338,1,0
acc_0339,3,2
acc_0340,9,1
acc_0341,1,0
acc_0342,6,2
acc_0343,12,1
acc_0344,5,1
acc_0345,5,0
acc_0346,9,0
acc_0347,5,0
acc_0348,11,1
acc_0349,5,0
acc_0350,2,1
acc_0351,11,1
acc_0352,13,2
acc_0353,8,1
acc_0354,10,3
acc_0355,6,1
acc_0356,6,3
acc_0357,14,1
acc_0358,7,0
acc_0359,3,1
acc_0360,9,0
acc_0361,7,3
acc_0362,7,1
acc_0363,12,3
acc_0364,16,3
acc_0365,6,1
acc_0366,6,3
acc_0367,5,1
acc_0368,13,2
acc_0369,10,1
acc_0370,1,1
acc_0371,7,1
acc_0372,5,2
acc_0373,3,0
acc_0374,10,3
acc_0375,11,2
acc_0376,8,1
acc_0377,9,4
acc_0378,12,2
acc_0379,10,2
acc_0380,10,2
acc_0381,2,1
acc_0382,15,3
acc_0383,7,1
